Season,Name,Team,Season,PA,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,O-Swing% (sc),Z-Contact% (sc),Barrel%,HardHit%,EV,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
2019,"Aaron Judge","NYY",2019,447,0.272486772,0.143176733,0.315436241,0.381165919,0.539682539,0.920848458,0.267195767,0.360189573,0.2205029,0.78782609,0.20083682,0.58158996,96.03571428571429,0.38221578711298254,0.4018107280472285,"Aaron Judge",15640,592450
2021,"Aaron Judge","NYY",2021,633,0.287272727,0.118483412,0.249605055,0.372827804,0.543636363,0.916464167,0.256363636,0.332402234,0.22030238,0.83046683,0.17632242,0.57934509,95.82436746510152,0.38704453784199033,0.4181348416751947,"Aaron Judge",15640,592450
2022,"Aaron Judge","NYY",2022,696,0.310526315,0.159482758,0.251436781,0.424855491,0.685964912,1.110820403,0.375438597,0.340236686,0.23156533,0.83219955,0.26237624,0.61138614,95.77769619360902,0.45819641417238366,0.46335875828113354,"Aaron Judge",15640,592450
2023,"Aaron Judge","NYY",2023,458,0.267029972,0.192139737,0.283842794,0.406113537,0.613079019,1.019192556,0.346049047,0.30049261,0.17997978,0.7693575,0.275,0.64166667,97.64727706589959,0.4203612742020452,0.4613668237413679,"Aaron Judge",15640,592450
2024,"Aaron Judge","NYY",2024,704,0.322003577,0.188920454,0.242897727,0.458036984,0.701252236,1.15928922,0.379248659,0.367469879,0.17651099,0.80293501,0.2685422,0.6112532,96.23058925128535,0.4757340011100992,0.4796257916618796,"Aaron Judge",15640,592450
2025,"Aaron Judge","NYY",2025,679,0.330868761,0.182621502,0.235640648,0.456553755,0.687615526,1.144169281,0.356746765,0.376119402,0.22296793,0.79647059,0.24742268,0.58247423,95.42196584302326,0.46277270504327067,0.47547257969420337,"Aaron Judge",15640,592450
2015,"Abraham Almonte","- - -",2015,258,0.25,0.081395348,0.201550387,0.309803921,0.409482758,0.719286679,0.159482758,0.299435028,0.27160494,0.85448916,0.05945946,0.34054054,88.83154878162202,0.31178801199969125,0.3261181042518145,"Abraham Almonte",5486,501659
2016,"Abraham Almonte","CLE",2016,194,0.263736263,0.041237113,0.216494845,0.293814432,0.401098901,0.694913333,0.137362638,0.330985915,0.31005587,0.87121212,0.05594406,0.39160839,88.53812809127697,0.2944009276251719,0.27685817335017776,"Abraham Almonte",5486,501659
2017,"Abraham Almonte","CLE",2017,195,0.232558139,0.102564102,0.235897435,0.314432989,0.366279069,0.680712058,0.13372093,0.298387096,0.24479167,0.83643123,0.0625,0.3671875,88.01653235728347,0.29808889867104205,0.30930153364987717,"Abraham Almonte",5486,501659
2018,"Abraham Almonte","KCR",2018,151,0.179104477,0.099337748,0.238410596,0.26,0.283582089,0.543582089,0.104477612,0.21875,0.27725857,0.82954545,0.08,0.37,89.80104851973684,0.24447164336840313,0.32289832347148173,"Abraham Almonte",5486,501659
2021,"Abraham Almonte","ATL",2021,175,0.216216216,0.148571428,0.217142857,0.331428571,0.398648648,0.730077219,0.182432432,0.254716981,0.22281167,0.86065574,0.07207207,0.41441441,89.25727095170454,0.3205874943733215,0.3174347274604885,"Abraham Almonte",5486,501659
2021,"Abraham Toro","- - -",2021,375,0.23880597,0.082666666,0.144,0.314666666,0.373134328,0.687800994,0.134328358,0.25367647,0.30122117,0.89558233,0.07420495,0.33922261,86.80640604148131,0.302864951133728,0.3227607277059683,"Abraham Toro",19844,647351
2022,"Abraham Toro","SEA",2022,352,0.185185185,0.0625,0.18465909,0.238636363,0.324074074,0.562710437,0.138888889,0.197628458,0.30182927,0.88194444,0.06844106,0.29657795,87.01596661121673,0.24627701950888348,0.2839032686673678,"Abraham Toro",19844,647351
2024,"Abraham Toro","OAK",2024,364,0.240356083,0.054945054,0.17032967,0.292817679,0.350148367,0.642966046,0.109792284,0.278810408,0.32327586,0.93424036,0.0433213,0.29602888,87.17963778409091,0.2830058539343012,0.2912699522404129,"Abraham Toro",19844,647351
2025,"Abraham Toro","BOS",2025,284,0.239382239,0.049295774,0.147887323,0.288732394,0.37065637,0.659388764,0.131274131,0.255813953,0.3559633,0.89488636,0.04504505,0.34234234,86.32117469031532,0.285940380483971,0.30708946524576247,"Abraham Toro",19844,647351
2018,"Adalberto Mondesi","KCR",2018,291,0.276363636,0.037800687,0.26460481,0.305555555,0.498181818,0.803737373,0.221818182,0.335135135,0.32380952,0.78436019,0.1039604,0.36633663,89.99840856481481,0.34077888789276284,0.3295089070058802,"Adalberto Mondesi",13769,609275
2019,"Adalberto Mondesi","KCR",2019,443,0.262650602,0.04288939,0.297968397,0.29090909,0.424096385,0.715005475,0.161445783,0.357142857,0.38231631,0.76547231,0.08561644,0.3390411,88.67272863854895,0.2978803805329583,0.2830631596545606,"Adalberto Mondesi",13769,609275
2020,"Adalberto Mondesi","KCR",2020,233,0.255707762,0.0472103,0.300429184,0.294372294,0.415525114,0.709897408,0.159817352,0.349650349,0.35320088,0.75,0.07284768,0.39072848,90.61837948069854,0.3045649043409339,0.2670580988344939,"Adalberto Mondesi",13769,609275
2016,"Adam Duvall","CIN",2016,608,0.240942028,0.06743421,0.269736842,0.296540362,0.498188405,0.794728767,0.257246377,0.275482093,0.33513028,0.85479452,0.1209068,0.41057935,88.55025310905613,0.33283426413441647,0.335994910560177,"Adam Duvall",10950,594807
2017,"Adam Duvall","CIN",2017,647,0.248722316,0.060278207,0.262751159,0.301391035,0.480408858,0.781799893,0.231686542,0.289672544,0.30185497,0.82613909,0.08878505,0.3271028,87.26965073529412,0.3265219186850746,0.3018426152404595,"Adam Duvall",10950,594807
2018,"Adam Duvall","- - -",2018,427,0.1953125,0.086651053,0.274004683,0.274004683,0.364583333,0.638588016,0.169270833,0.23715415,0.30548628,0.82024433,0.10074627,0.41044776,88.9655414252692,0.27743876092838793,0.31816562544113086,"Adam Duvall",10950,594807
2020,"Adam Duvall","ATL",2020,209,0.236842105,0.071770334,0.258373205,0.301435406,0.531578947,0.833014353,0.294736842,0.239669421,0.31538462,0.83208955,0.13868613,0.40145985,88.09853228400735,0.3481878007998307,0.3422764264620267,"Adam Duvall",10950,594807
2021,"Adam Duvall","- - -",2021,555,0.228070175,0.063063063,0.313513513,0.281081081,0.49122807,0.772309151,0.263157895,0.259868421,0.33271375,0.83795014,0.16081871,0.43859649,89.7649139939693,0.3242618534108792,0.3300362872733106,"Adam Duvall",10950,594807
2022,"Adam Duvall","ATL",2022,315,0.212543554,0.066666666,0.32063492,0.276190476,0.400696864,0.67688734,0.18815331,0.27840909,0.35601266,0.79539642,0.12765957,0.40957447,88.26435754654256,0.2952282627423604,0.2934751964750744,"Adam Duvall",10950,594807
2023,"Adam Duvall","BOS",2023,353,0.246875,0.062322946,0.31161473,0.303116147,0.53125,0.834366147,0.284375,0.298969072,0.34431138,0.80722892,0.13023256,0.39069767,88.75,0.34740112840451975,0.3038461364572204,"Adam Duvall",10950,594807
2024,"Adam Duvall","ATL",2024,330,0.181518151,0.063636363,0.3,0.245454545,0.323432343,0.568886888,0.141914192,0.226804123,0.32835821,0.85096154,0.10731707,0.36585366,86.87317073170732,0.2519425843701218,0.2833748788544626,"Adam Duvall",10950,594807
2015,"Adam Eaton","CHW",2015,689,0.286885245,0.08417997,0.190130624,0.361111111,0.43114754,0.792258651,0.144262295,0.344753747,0.27522936,0.90396158,0.0308642,0.30864198,88.09537617015418,0.3462997646975028,0.3081838929056217,"Adam Eaton",11205,594809
2016,"Adam Eaton","CHW",2016,706,0.284329563,0.089235127,0.162889518,0.361945636,0.428109854,0.79005549,0.143780291,0.328600405,0.29086723,0.91036088,0.0311284,0.35603113,88.98744769874477,0.34361064699151084,0.3282012712049413,"Adam Eaton",11205,594809
2018,"Adam Eaton","WSN",2018,370,0.300940438,0.102702702,0.172972972,0.394021739,0.410658307,0.804680046,0.109717869,0.364,0.26566757,0.89655172,0.0311284,0.30350195,87.69878384362349,0.35769998865283054,0.3357211792666609,"Adam Eaton",11205,594809
2019,"Adam Eaton","WSN",2019,656,0.279151943,0.099085365,0.161585365,0.364760432,0.427561837,0.792322269,0.148409894,0.319196428,0.27113703,0.91634492,0.03813559,0.34322034,88.9149237889755,0.34151176359775076,0.3283792812622453,"Adam Eaton",11205,594809
2020,"Adam Eaton","WSN",2020,176,0.226415094,0.068181818,0.181818181,0.28488372,0.383647798,0.668531518,0.157232704,0.260162601,0.33431085,0.93693694,0.04580153,0.38167939,87.84227324695122,0.28748304941500835,0.3032374438117532,"Adam Eaton",11205,594809
2021,"Adam Eaton","- - -",2021,288,0.200787401,0.076388888,0.246527777,0.28169014,0.326771653,0.608461793,0.125984252,0.252808988,0.30912162,0.8575419,0.04255319,0.34042553,86.57611219618056,0.27067482723316677,0.2751911928955938,"Adam Eaton",11205,594809
2017,"Adam Engel","CHW",2017,336,0.166112956,0.056547619,0.348214285,0.234756097,0.282392026,0.517148123,0.11627907,0.247191011,0.25466893,0.75420168,0.03645833,0.22395833,83.2316384180791,0.22968726278078266,0.24037528186110976,"Adam Engel",15082,641553
2018,"Adam Engel","CHW",2018,463,0.235431235,0.038876889,0.27861771,0.278508771,0.335664335,0.614173106,0.1002331,0.322033898,0.34571063,0.80707395,0.02597403,0.32467532,87.04387887967687,0.2696487453945896,0.24706431070963542,"Adam Engel",15082,641553
2019,"Adam Engel","CHW",2019,248,0.242290748,0.056451612,0.314516129,0.303643724,0.383259911,0.686903635,0.140969163,0.342657342,0.3185654,0.81097561,0.05333333,0.3,86.37676056338029,0.2956144816962331,0.27972715409075627,"Adam Engel",15082,641553
2022,"Adam Engel","CHW",2022,260,0.224489795,0.042307692,0.292307692,0.269230769,0.310204081,0.57943485,0.085714286,0.317365269,0.28628231,0.80745342,0.01775148,0.33136095,87.93952329715569,0.2563050838050695,0.24615617500719175,"Adam Engel",15082,641553
2016,"Adam Frazier","PIT",2016,160,0.301369863,0.075,0.1625,0.35625,0.410958904,0.767208904,0.109589041,0.352941176,0.29056604,0.91561181,0.01652893,0.21487603,85.7605540424312,0.33457589112222197,0.3296706225420978,"Adam Frazier",15223,624428
2017,"Adam Frazier","PIT",2017,454,0.275862068,0.079295154,0.12555066,0.34437086,0.399014778,0.743385638,0.12315271,0.306358381,0.25732484,0.92176871,0.01983003,0.23796034,85.76144701086956,0.3221987633906024,0.3259499882044417,"Adam Frazier",15223,624428
2018,"Adam Frazier","PIT",2018,352,0.276729559,0.082386363,0.150568181,0.341880341,0.455974842,0.797855183,0.179245283,0.3046875,0.20967742,0.91718427,0.0411985,0.31460674,87.97094634433962,0.34253595551652005,0.31949665902674884,"Adam Frazier",15223,624428
2019,"Adam Frazier","PIT",2019,608,0.277978339,0.065789473,0.123355263,0.336092715,0.416967509,0.753060224,0.13898917,0.306382978,0.27386262,0.90806045,0.01859504,0.28099174,87.14331210191082,0.32001848151286444,0.31803811563027873,"Adam Frazier",15223,624428
2020,"Adam Frazier","PIT",2020,230,0.229665071,0.073913043,0.152173913,0.296943231,0.363636363,0.660579594,0.133971292,0.245508982,0.24343675,0.90759076,0.04,0.25142857,85.48255813953489,0.29079275568499835,0.3086540155243455,"Adam Frazier",15223,624428
2021,"Adam Frazier","- - -",2021,639,0.305025996,0.07511737,0.10798122,0.367924528,0.410745233,0.778669761,0.105719237,0.339285714,0.262354,0.93228537,0.00976563,0.25195313,85.41326964727723,0.34051614886954756,0.3238106136080585,"Adam Frazier",15223,624428
2022,"Adam Frazier","SEA",2022,602,0.238447319,0.07641196,0.121262458,0.301003344,0.310536044,0.611539388,0.072088725,0.267515923,0.29926335,0.92547425,0.01464435,0.24476987,85.11999667553191,0.27362392565712856,0.2974958739824743,"Adam Frazier",15223,624428
2023,"Adam Frazier","BAL",2023,455,0.240291262,0.07032967,0.149450549,0.3,0.395631067,0.695631067,0.155339805,0.258258258,0.296875,0.89358108,0.03133903,0.23361823,85.66869338768116,0.3024059746000502,0.30109111556497076,"Adam Frazier",15223,624428
2024,"Adam Frazier","KCR",2024,294,0.202290076,0.074829931,0.200680272,0.281786941,0.293893129,0.57568007,0.091603053,0.246231155,0.2628866,0.88915663,0.02912621,0.22815534,84.49850357587064,0.26130598209977557,0.2864990496553506,"Adam Frazier",15223,624428
